Name,Party,Riding,Province,Status,ElectionNum
"BUCHANAN, Barbara ",Liberal,ST. CATHARINES,Ontario,0,34
"BUCK, Evelyn ",New Democratic Party,YORK NORTH,Ontario,0,34
"BULL, Diane ",New Democratic Party,ST. PAUL'S,Ontario,0,34
"CABOTT, Mae ",Liberal,MISSION--COQUITLAM,British Columbia,0,34
"CALLBECK, Catherine ",Liberal,MALPEQUE,Prince Edward Island,1,34
"CAMPBELL, Coline ",Liberal,SOUTH WEST NOVA,Nova Scotia,1,34
"CAMPBELL, Kim ",Progressive Conservative,VANCOUVER CENTRE,British Columbia,1,34
"CAREY, Valerie Adrienne ",Communist Party of Canada,KAMLOOPS,British Columbia,0,34
"CATTERALL, Marlene ",Liberal,OTTAWA WEST,Ontario,1,34
"CHABOT, Line ",Communist Party of Canada,PAPINEAU--SAINT-MICHEL,Quebec,0,34
"CHAMPAGNE, Andrée ",Progressive Conservative,SAINT-HYACINTHE--BAGOT,Quebec,1,34
"CHISHOLM, Janet ",Liberal,FRASER VALLEY EAST,British Columbia,0,34
"CHOUINARD, Marie Chou Chou ",Parti Rhinocéros,HOCHELAGA--MAISONNEUVE,Quebec,0,34
"CLANCY, Mary ",Liberal,HALIFAX,Nova Scotia,1,34
"CLERMONT, Carole Ola ",Parti Rhinocéros,PAPINEAU--SAINT-MICHEL,Quebec,0,34
"CLOUT, Kathryn ",Liberal,SAANICH--GULF ISLANDS,British Columbia,0,34
"COHEN, Shaughnessy ",Liberal,WINDSOR--LAKE ST. CLAIR,Ontario,0,34
"COLLINS, Keith ",New Democratic Party,ANNAPOLIS VALLEY--HANTS,Nova Scotia,0,34
"COLLINS, Mary ",Progressive Conservative,CAPILANO--HOWE SOUND,British Columbia,1,34
"COMMANDEUR, Catherine ",No affiliation to a recognised party,ANJOU--RIVIÈRE-DES-PRAIRIES,Quebec,0,34
"COOK, Mary ",New Democratic Party,SCARBOROUGH EAST,Ontario,0,34
"COPPS, Sheila ",Liberal,HAMILTON EAST,Ontario,1,34
"COPPS-SUTHERLAND, Mary ",Liberal,LONDON WEST,Ontario,0,34
"COSSITT, Jennifer ",Progressive Conservative,LEEDS--GRENVILLE,Ontario,0,34
"COTÉ, Danielle ",Progressive Conservative,SHEFFORD,Quebec,0,34
"CÔTÉ, Éva ",Liberal,RIMOUSKI--TÉMISCOUATA,Quebec,0,34
"COTÉ, Sonia Chatouille ",Parti Rhinocéros,LAURIER--SAINTE-MARIE,Quebec,0,34
"COULTER, Sue ",New Democratic Party,KITCHENER,Ontario,0,34
"CRAIG, Sue ",New Democratic Party,MISSISSAUGA SOUTH,Ontario,0,34
"CRANE, Dolores ",New Democratic Party,HILLSBOROUGH,Prince Edward Island,0,34
"DAGENAIS, S. ",Communist Party of Canada,AHUNTSIC,Quebec,0,34
"DANDENAULT, Christine ",No affiliation to a recognised party,AHUNTSIC,Quebec,0,34
"DANIELS, Kathleen ",No affiliation to a recognised party,OKANAGAN--SHUSWAP,British Columbia,0,34
"DARCY, Judy ",New Democratic Party,YORK--SIMCOE,Ontario,0,34
"DASYLVA, Claire ",Communist Party of Canada,BOURASSA,Quebec,0,34
"DE VRIES, Geraldine ",Christian Heritage Party of Canada,BRANT,Ontario,0,34
"DEAN, Elsie ",Communist Party of Canada,NEW WESTMINSTER--BURNABY,British Columbia,0,34
"DECELLES, Maureen ",Parti Rhinocéros,VAUDREUIL,Quebec,0,34
"DELAND-GERVAIS, Christiane ",Party for the Commonwealth of Canada,ROSEMONT,Quebec,0,34
"DEN HERTOG, Johanna ",New Democratic Party,VANCOUVER CENTRE,British Columbia,0,34
"DESRANLEAU, Nicole ",New Democratic Party,SAINT-HUBERT,Quebec,0,34
"DEWAR, Marion ",New Democratic Party,HAMILTON MOUNTAIN,Ontario,0,34
"DI CARLO, Anna ",No affiliation to a recognised party,KITCHENER,Ontario,0,34
"DOBBIE, Dorothy ",Progressive Conservative,WINNIPEG SOUTH,Manitoba,1,34
"DUCHAINE, Nancy ",Party for the Commonwealth of Canada,SAINT-DENIS,Quebec,0,34
"DUFORT, Michelle ",No affiliation to a recognised party,SAINT-LAURENT,Quebec,0,34
"DUPLÉ, Nicole ",Liberal,LOUIS-HÉBERT,Quebec,0,34
"DUPLESSIS, Suzanne ",Progressive Conservative,LOUIS-HÉBERT,Quebec,1,34
"DYMENT, Irene N. ",New Democratic Party,EGMONT,Prince Edward Island,0,34
"ESCOLA, Montserrat ",Communist Party of Canada,HOCHELAGA--MAISONNEUVE,Quebec,0,34
"ÉTHIER, Lise ",No affiliation to a recognised party,TROIS-RIVIÈRES,Quebec,0,34
"EVANS, Una MACLEAN ",Liberal,EDMONTON--STRATHCONA,Alberta,0,34
"FAIRALL, Lynn ",New Democratic Party,FRASER VALLEY WEST,British Columbia,0,34
"FARLINGER, Shirley ",New Democratic Party,WELLINGTON--GREY--DUFFERIN--SIMCOE,Ontario,0,34
"FELS, Harriett ",Green Party of Canada,OUTREMONT,Quebec,0,34
"FELTHAM, Louise ",Progressive Conservative,WILD ROSE,Alberta,1,34
"FERGUSON, Debra ",Liberal,SASKATOON--DUNDURN,Saskatchewan,0,34
"FERRI, Terese ",Christian Heritage Party of Canada,CARLETON--GLOUCESTER,Ontario,0,34
"FEVREAU, Betty ",Liberal,SCARBOROUGH EAST,Ontario,0,34
"FINESTONE, Sheila ",Liberal,MONT ROYAL,Quebec,1,34
"FOLEY, Julie ",New Democratic Party,SARNIA--LAMBTON,Ontario,0,34
"FOLKARD, Paula ",Reform Party of Canada,VANCOUVER CENTRE,British Columbia,0,34
"FOORD, Isabelle ",Green Party of Canada,EDMONTON--STRATHCONA,Alberta,0,34
"FORTIER, Catherine ",Party for the Commonwealth of Canada,LACHINE--LAC-SAINT-LOUIS,Quebec,0,34
"FRAIN, Margaret ",No affiliation to a recognised party,NOTRE-DAME-DE-GRÂCE,Quebec,0,34
"FREELAND, Halyna ",New Democratic Party,EDMONTON--STRATHCONA,Alberta,0,34
"FRISK, Trudy M. ",Green Party of Canada,KAMLOOPS,British Columbia,0,34
"GAFFNEY, Beryl ",Liberal,NEPEAN,Ontario,1,34
"GALENZOSKI, Nora ",Confederation of Regions Western Party,VANCOUVER QUADRA,British Columbia,0,34
"GARBUTT, Gail ",New Democratic Party,RED DEER,Alberta,0,34
"GARNER, Faye ",Confederation of Regions Western Party,LEEDS--GRENVILLE,Ontario,0,34
"GATLEY, Jeanne ",No affiliation to a recognised party,ETOBICOKE CENTRE,Ontario,0,34
"GAUTHIER, Françoise ",New Democratic Party,JONQUIÈRE,Quebec,0,34
"GAUTHIER, Ginette ",Communist Party of Canada,LASALLE--ÉMARD,Quebec,0,34
"GIBEAU, Marie ",Progressive Conservative,BOURASSA,Quebec,1,34
"GIGA, Anil ",Liberal,CALGARY NORTHEAST,Alberta,0,34
"GINGRAS, Pauline ",New Democratic Party,LANGELIER,Quebec,0,34
"GORDON, Marie ",New Democratic Party,EDMONTON NORTHWEST,Alberta,0,34
"GREENE, Barbara ",Progressive Conservative,DON VALLEY NORTH,Ontario,1,34
"GREY, Deborah C. ",Reform Party of Canada,BEAVER RIVER,Alberta,0,34
"GRIFFIN, Betty ",Communist Party of Canada,NORTH VANCOUVER,British Columbia,0,34
"GRIMALDI, Joanne ",Liberal,OKANAGAN--SIMILKAMEEN--MERRITT,British Columbia,0,34
"GUARNIERI, Albina ",Liberal,MISSISSAUGA EAST,Ontario,1,34
"GUAY-MINEAULT, Marielle ",Liberal,LANGELIER,Quebec,0,34
"GUICE, Nancy ",Party for the Commonwealth of Canada,LASALLE--ÉMARD,Quebec,0,34
"HALLIDAY, Gus ",Liberal,KAMLOOPS,British Columbia,0,34
"HAM, Linda ",New Democratic Party,PERTH--WELLINGTON--WATERLOO,Ontario,0,34
"HARRINGTON, Sandra ",Libertarian Party of Canada,MISSISSAUGA EAST,Ontario,0,34
"HARRIS, Connie K. ",Green Party of Canada,OKANAGAN--SHUSWAP,British Columbia,0,34
"HAYES, Sally ",Libertarian Party of Canada,VICTORIA--HALIBURTON,Ontario,0,34
"HAZLETT, Janice E. ",Libertarian Party of Canada,ETOBICOKE CENTRE,Ontario,0,34
"HEMINGWAY, Dawn ",No affiliation to a recognised party,LONDON--MIDDLESEX,Ontario,0,34
"HENDERSON, April ",Libertarian Party of Canada,DAVENPORT,Ontario,0,34
"HÉROUX, Hélène ",No affiliation to a recognised party,LAURIER--SAINTE-MARIE,Quebec,0,34
"HERVIEUX-PAYETTE, Céline ",Liberal,LAVAL,Quebec,0,34
"HIGGINBOTHAM, Judy ",Liberal,SURREY--WHITE ROCK,British Columbia,0,34
"HIRD, Cathy ",New Democratic Party,BRUCE--GREY,Ontario,0,34
"HOAR, Penny ",Parti Rhinocéros,PARKDALE--HIGH PARK,Ontario,0,34
"HOLDEN, Beverley A. ",Green Party of Canada,ESQUIMALT--JUAN DE FUCA,British Columbia,0,34
"HOLLOWAY, Vicky ",Communist Party of Canada,ETOBICOKE--LAKESHORE,Ontario,0,34
"HUBERT-BENNETT, Lyse ",Progressive Conservative,SAINT-LAURENT,Quebec,0,34
"HUMBY, Peggy ",Christian Heritage Party of Canada,LINCOLN,Ontario,0,34
"HUNTER, Lynn ",New Democratic Party,SAANICH--GULF ISLANDS,British Columbia,1,34
"HUNTER, Patricia L. ",Liberal,ELK ISLAND,Alberta,0,34
"HUSBAND, Elaine ",New Democratic Party,CALGARY CENTRE,Alberta,0,34
"HUSCHKA-SPRAGUE, Rita ",Libertarian Party of Canada,WATERLOO,Ontario,0,34
"IVES-RUYTER, Elizabeth ",New Democratic Party,RENFREW,Ontario,0,34
"JACK, Barbara ",New Democratic Party,CUMBERLAND--COLCHESTER,Nova Scotia,0,34
"JACQUES, Carole ",Progressive Conservative,MERCIER,Quebec,1,34
"JAMES, Lois J. ",Green Party of Canada,SCARBOROUGH--ROUGE RIVER,Ontario,0,34
"JEAN, Maria ",New Democratic Party,VERCHÈRES,Quebec,0,34
"JESSOP, Janet ",Reform Party of Canada,CALGARY SOUTHWEST,Alberta,0,34
"JOHNSON, Diane ",Reform Party of Canada,CARIBOO--CHILCOTIN,British Columbia,0,34
"JOHNSON, Leapin Liz ",Parti Rhinocéros,OTTAWA CENTRE,Ontario,0,34
"JOYCE, Mary ",No affiliation to a recognised party,EDMONTON--STRATHCONA,Alberta,0,34
"JULIEN, Linda ",Liberal,BEAUHARNOIS--SALABERRY,Quebec,0,34
"KAUFMAN, Bev ",Liberal,KINDERSLEY--LLOYDMINSTER,Saskatchewan,0,34
"KAVANAGH, Theresa ",New Democratic Party,OTTAWA WEST,Ontario,0,34
"KELEMBET, Roma ",Libertarian Party of Canada,YORK WEST,Ontario,0,34
"KEMPO, Olga ",New Democratic Party,CAPILANO--HOWE SOUND,British Columbia,0,34
"KONTOPIDIS, Maria ",Communist Party of Canada,DON VALLEY EAST,Ontario,0,34
"KORDYBAN, Valerie ",Progressive Conservative,PRINCE GEORGE--BULKLEY VALLEY,British Columbia,0,34
"KOULAS, Kathy ",Communist Party of Canada,SCARBOROUGH EAST,Ontario,0,34
"KRONE, Susan ",New Democratic Party,MARKHAM,Ontario,0,34
"LACOSTE, Jacqueline ",Green Party of Canada,RICHELIEU,Quebec,0,34
"LACROIX, Doris ",Social Credit Party of Canada,SAINT-DENIS,Quebec,0,34
"LALANNE, Jeanne ",New Democratic Party,QUÉBEC-EST,Quebec,0,34
"LAMBRINOS, Alice ",New Democratic Party,YORK WEST,Ontario,0,34
"LANDRY, Monique ",Progressive Conservative,BLAINVILLE--DEUX-MONTAGNES,Quebec,1,34
"LANGAN, Joy ",New Democratic Party,MISSION--COQUITLAM,British Columbia,1,34
"LANGLEY, Connie ",Confederation of Regions Western Party,THE BATTLEFORDS--MEADOW LAKE,Saskatchewan,0,34
"LAPOINTE-VIENNEAU, Danielle ",New Democratic Party,HULL--AYLMER,Quebec,0,34
"LAPSLEY, Heather-Anne ",Libertarian Party of Canada,PRINCE EDWARD--HASTINGS,Ontario,0,34
"LARSEN, Anna ",Communist Party of Canada,PARKDALE--HIGH PARK,Ontario,0,34
"LEBLANC, Nicole ",No affiliation to a recognised party,GATINEAU--LA LIÈVRE,Quebec,0,34
"LEBSACK, Betty ",Reform Party of Canada,ATHABASCA,Alberta,0,34
"LEGAULT, Sylvie Legs ",Parti Rhinocéros,LONGUEUIL,Quebec,0,34
"LEVI, Vittoria ",New Democratic Party,EGLINTON--LAWRENCE,Ontario,0,34
"LLAMBIAS-WOLFF, Jaime ",New Democratic Party,SAINT-DENIS,Quebec,0,34
"LLOYD, Linda ",No affiliation to a recognised party,WINNIPEG--ST. JAMES,Manitoba,0,34
"LORTIE-NARAYANA, Hélène ",New Democratic Party,SAINT-HYACINTHE--BAGOT,Quebec,0,34
"MACDONALD, Deborah ",Communist Party of Canada,NANAIMO--COWICHAN,British Columbia,0,34
"MACDONALD, Flora ",Progressive Conservative,KINGSTON AND THE ISLANDS,Ontario,0,34
"MAHEU, Shirley ",Liberal,SAINT-LAURENT,Quebec,1,34
"MAILLY, Claudy ",Progressive Conservative,GATINEAU--LA LIÈVRE,Quebec,0,34
"MALCHUK, Joanne ",New Democratic Party,PARRY SOUND--MUSKOKA,Ontario,0,34
"MANWARING, Margaret ",No affiliation to a recognised party,EGLINTON--LAWRENCE,Ontario,0,34
"MARCOTTE, Monique ",Communist Party of Canada,OUTREMONT,Quebec,0,34
"MARLEAU, Diane ",Liberal,SUDBURY,Ontario,1,34
"MARSHALL, Janet ",Liberal,LANARK--CARLETON,Ontario,0,34
"MARTIN, Shirley ",Progressive Conservative,LINCOLN,Ontario,1,34
"MAYER, Irène Maman ",Parti Rhinocéros,VERDUN--SAINT-PAUL,Quebec,0,34
"MCALEESE, Maureen E. ",Libertarian Party of Canada,YORK--SIMCOE,Ontario,0,34
"MCBRIDE, Anne C. ",No affiliation to a recognised party,SCARBOROUGH--AGINCOURT,Ontario,0,34
"MCCREA, Julia ",New Democratic Party,HAMILTON--WENTWORTH,Ontario,0,34
"MCDONALD, Lynn ",New Democratic Party,BROADVIEW--GREENWOOD,Ontario,0,34
"MCDOUGALL, Barbara ",Progressive Conservative,ST. PAUL'S,Ontario,1,34
"MCLARTY, Liane ",Parti Rhinocéros,ROSEDALE,Ontario,0,34
"MCLAUGHLIN, Audrey ",New Democratic Party,YUKON,Yukon,1,34
"MCLEAN, Nancy ",Progressive Conservative,OSHAWA,Ontario,0,34
"MCNAIRN, Rosemarie M. ",New Democratic Party,FUNDY--ROYAL,New Brunswick,0,34
"MCTEER, Maureen ",Progressive Conservative,CARLETON--GLOUCESTER,Ontario,0,34
"MEINERT, Judith ",New Democratic Party,SAINT JOHN,New Brunswick,0,34
"MELE, Cathy ",New Democratic Party,YORK CENTRE,Ontario,0,34
"MENOZZI, Anna ",New Democratic Party,DAVENPORT,Ontario,0,34
"MEREDITH, Val ",Reform Party of Canada,SURREY--WHITE ROCK,British Columbia,0,34
"MÉTIVIER, Patricia ",Green Party of Canada,SAINT-HUBERT,Quebec,0,34
"MICHAEL, Bernadette ",Independent,DON VALLEY NORTH,Ontario,0,34
"MIDDELKOOP, Simone ",Christian Heritage Party of Canada,ATHABASCA,Alberta,0,34
"MILJÉVIC, Milenko P. ",Parti Rhinocéros,OUTREMONT,Quebec,0,34
"MILLER, Kathy ",New Democratic Party,CALGARY SOUTHEAST,Alberta,0,34
"MITCHELL, Margaret Anne ",New Democratic Party,VANCOUVER EAST,British Columbia,1,34
"MOREAULT, Nicole ",Progressive Conservative,HULL--AYLMER,Quebec,0,34
"MORROW, Valerie ",Independent,VEGREVILLE,Alberta,0,34
"MORTON, Peggy ",No affiliation to a recognised party,EDMONTON SOUTHEAST,Alberta,0,34
"MULKEWICH, Jane ",New Democratic Party,BURLINGTON,Ontario,0,34
"MURPHY, Gloria ",New Democratic Party,CENTRAL NOVA,Nova Scotia,0,34
"MURRAY, Bea ",New Democratic Party,NEPEAN,Ontario,0,34
"MUTI, Dale ",Liberal,CALGARY SOUTHEAST,Alberta,0,34
"NAYLOR, Karen ",No affiliation to a recognised party,WINNIPEG TRANSCONA,Manitoba,0,34
"NEWHOOK, Marie ",New Democratic Party,HUMBER--ST. BARBE--BAIE VERTE,Newfoundland and Labrador,0,34
"NICHOLSON, Aideen ",Liberal,ST. PAUL'S,Ontario,0,34
"NORTHRUP, Julie ",No affiliation to a recognised party,CALGARY SOUTHEAST,Alberta,0,34
"O'DONNELL, Dorothy-Jean ",No affiliation to a recognised party,VANCOUVER CENTRE,British Columbia,0,34
"O'NEILL, Louise ",New Democratic Party,OUTREMONT,Quebec,0,34
"PALLETT, Laurie ",Progressive Conservative,MISSISSAUGA EAST,Ontario,0,34
"PARTRIDGE, Gertrude ",New Democratic Party,CARDIGAN,Prince Edward Island,0,34
"PAXTON, Marilyn K. ",Green Party of Canada,LACHINE--LAC-SAINT-LOUIS,Quebec,0,34
"PAYNE, Genevieve M.",Liberal,ST. JOHN'S WEST,Newfoundland and Labrador,0,34
"PELUSO, Maria ",New Democratic Party,NOTRE-DAME-DE-GRÂCE,Quebec,0,34
"PÉPIN, Lucie ",Liberal,OUTREMONT,Quebec,0,34
"PETERSEN, Donna ",No affiliation to a recognised party,OTTAWA WEST,Ontario,0,34
"PHINNEY, Beth ",Liberal,HAMILTON MOUNTAIN,Ontario,1,34
"PICKERING, Donna ",Christian Heritage Party of Canada,MISSION--COQUITLAM,British Columbia,0,34
"POIRIER, Germaine ",New Democratic Party,BONAVENTURE--ÎLES-DE-LA-MADELEINE,Quebec,0,34
"POLLONETSKY, Abby ",New Democratic Party,PARKDALE--HIGH PARK,Ontario,0,34
"PORCHER, Laura K. ",Green Party of Canada,VICTORIA,British Columbia,0,34
"POULIN, Lady Be Ann ",Parti Rhinocéros,MONT ROYAL,Quebec,0,34
"PROVOST, Madeleine ",Progressive Conservative,SAINT-DENIS,Quebec,0,34
"QUIGLEY, Nancy ",New Democratic Party,RESTIGOUCHE,New Brunswick,0,34
"RANKIN, Naomi ",Communist Party of Canada,EDMONTON EAST,Alberta,0,34
"RATANSI, Yasmin ",Liberal,DON VALLEY EAST,Ontario,0,34
"REID, Mae E. ",Progressive Conservative,PORT MOODY--COQUITLAM,British Columbia,0,34
"RHODES, Elizabeth ",Green Party of Canada,BROADVIEW--GREENWOOD,Ontario,0,34
"RICE, Helen A. ",Liberal,PEACE RIVER,Alberta,0,34
"RICHARDS, Cathy ",Liberal,WILD ROSE,Alberta,0,34
"RICHARDT, Mary R. ",Confederation of Regions Western Party,PRINCE ALBERT--CHURCHILL RIVER,Saskatchewan,0,34
"RIGGS, Evelyn ",New Democratic Party,LABRADOR,Newfoundland and Labrador,0,34
"ROBERTSON, Heather ",No affiliation to a recognised party,DAVENPORT,Ontario,0,34
"ROBIDOUX, Christiane ",No affiliation to a recognised party,HOCHELAGA--MAISONNEUVE,Quebec,0,34
"ROSE, Ruth ",New Democratic Party,SAINT-HENRI--WESTMOUNT,Quebec,0,34
"ROUNDS, Sharon ",Party for the Commonwealth of Canada,OXFORD,Ontario,0,34
"ROUTHIER, Lyse ",Liberal,BONAVENTURE--ÎLES-DE-LA-MADELEINE,Quebec,0,34
"ROWLEY, Liz ",Communist Party of Canada,HAMILTON EAST,Ontario,0,34
"ROY, Françoise ",No affiliation to a recognised party,ETOBICOKE--LAKESHORE,Ontario,0,34
"ROY, Marianne ",Communist Party of Canada,LAURIER--SAINTE-MARIE,Quebec,0,34
"ROY-ARCELIN, Nicole ",Progressive Conservative,AHUNTSIC,Quebec,1,34
"RUSSELL, Lesley ",New Democratic Party,HAMILTON WEST,Ontario,0,34
"SABOVITCH, Mary ",New Democratic Party,PROVENCHER,Manitoba,0,34
"SAINT-LAURENT, Danielle La Chicane ",Parti Rhinocéros,TROIS-RIVIÈRES,Quebec,0,34
"SAINT-LOUIS, Denise ",Party for the Commonwealth of Canada,MERCIER,Quebec,0,34
"SANDEMAN, Gill ",New Democratic Party,PETERBOROUGH,Ontario,0,34
"SARGENT, Kaye ",Libertarian Party of Canada,OXFORD,Ontario,0,34
"SCHWASS, Mary ",Liberal,ETOBICOKE CENTRE,Ontario,0,34
"SIM, Elaine ",Reform Party of Canada,EDMONTON EAST,Alberta,0,34
"SINGHA, Tabitha Y. ",Independent,BRANDON--SOURIS,Manitoba,0,34
"SMITH, Elizabeth ",Progressive Conservative,YORK WEST,Ontario,0,34
"SNOW, Ethel ",Christian Heritage Party of Canada,SIMCOE CENTRE,Ontario,0,34
"SOROKA, Cheryl Stephens ",No affiliation to a recognised party,VANCOUVER EAST,British Columbia,0,34
"SPARROW, Bobbie ",Progressive Conservative,CALGARY SOUTHWEST,Alberta,1,34
"STASIUK, Ann ",Independent,LINCOLN,Ontario,0,34
"STEWART, Christine ",Liberal,NORTHUMBERLAND,Ontario,1,34
"STEWART, Donna ",New Democratic Party,NORTH VANCOUVER,British Columbia,0,34
"SWANN, Viola ",Communist Party of Canada,SURREY--WHITE ROCK,British Columbia,0,34
"SYLVESTRE, Roberte ",Green Party of Canada,BERTHIER--MONTCALM,Quebec,0,34
"TARDIF, Monique B. ",Progressive Conservative,CHARLESBOURG,Quebec,1,34
"TAYLOR, Marie ",Progressive Conservative,NEW WESTMINSTER--BURNABY,British Columbia,0,34
"THOMPSON, Myrtle ",Party for the Commonwealth of Canada,YORK SOUTH--WESTON,Ontario,0,34
"THOMSON, Rachel ",Green Party of Canada,WELLAND--ST. CATHARINES--THOROLD,Ontario,0,34
"TIMM-RUDOLPH, Shirley ",Liberal,WINNIPEG TRANSCONA,Manitoba,0,34
"TREMBLAY, France ",No affiliation to a recognised party,LANGELIER,Quebec,0,34
"TREMBLAY, Francine ",No affiliation to a recognised party,PAPINEAU--SAINT-MICHEL,Quebec,0,34
"TREMBLAY-HINTON, Louisette ",New Democratic Party,BLAINVILLE--DEUX-MONTAGNES,Quebec,0,34
"TRUDEL, Josée ",New Democratic Party,TROIS-RIVIÈRES,Quebec,0,34
"VAILLANCOURT, Lauraine ",New Democratic Party,TERREBONNE,Quebec,0,34
"VAINIO, Cathy ",New Democratic Party,VICTORIA--HALIBURTON,Ontario,0,34
"VALLANCE, Susie ",New Democratic Party,SCARBOROUGH--AGINCOURT,Ontario,0,34
"VAN HUMBECK, Isabel ",Green Party of Canada,ETOBICOKE CENTRE,Ontario,0,34
"VENNE, Muriel STANLEY ",New Democratic Party,YELLOWHEAD,Alberta,0,34
"VENNE, Pierrette ",Progressive Conservative,SAINT-HUBERT,Quebec,1,34
"VÉZINA, Monique ",Progressive Conservative,RIMOUSKI--TÉMISCOUATA,Quebec,1,34
"VILLAMIZAR, Margaret ",No affiliation to a recognised party,ESSEX--WINDSOR,Ontario,0,34
"VOGEL, Vera ",New Democratic Party,CALGARY SOUTHWEST,Alberta,0,34
"WALDERN, Barbara ",No affiliation to a recognised party,VANCOUVER SOUTH,British Columbia,0,34
"WATSON, Judy ",New Democratic Party,SIMCOE CENTRE,Ontario,0,34
"WEIR, Darlene ",Progressive Conservative,COMOX--ALBERNI,British Columbia,0,34
"WHITAKER, Judy ",New Democratic Party,MALPEQUE,Prince Edward Island,0,34
"WILBUR, Margaret ",New Democratic Party,DURHAM,Ontario,0,34
"WILDER, Minnie Pearl ",Reform Party of Canada,KOOTENAY EAST,British Columbia,0,34
"WILLERT, Joyce ",Libertarian Party of Canada,SAINT-HENRI--WESTMOUNT,Quebec,0,34
"WILLS, B.J. ",Parti Rhinocéros,FRASER VALLEY EAST,British Columbia,0,34
"WISEMAN, Lois ",New Democratic Party,HALIFAX WEST,Nova Scotia,0,34
"WOLF, Fern ",New Democratic Party,HALTON--PEEL,Ontario,0,34
"WOLFE, Danielle ",New Democratic Party,BEAUCE,Quebec,0,34
"YORKE, Liz ",Liberal,DON VALLEY WEST,Ontario,0,34
"YOUNG, Anna ",Libertarian Party of Canada,SCARBOROUGH WEST,Ontario,0,34
"ZANDER, Kim C. ",Communist Party of Canada,VANCOUVER EAST,British Columbia,0,34
"ZUBEK, Wowie Zowie ",Parti Rhinocéros,SELKIRK,Manitoba,0,34
"ABILDGAARD, Susanne ",New Democratic Party,MACLEOD,Alberta,0,35
"ABLONCZY, Diane ",Reform Party of Canada,CALGARY NORTH,Alberta,1,35
"AMOS, Laureen ",Natural Law Party of Canada,WELLAND--ST. CATHARINES--THOROLD,Ontario,0,35
"ANDERSON, Alison ",Reform Party of Canada,ST. BONIFACE,Manitoba,0,35
"ANDERSON, Annie ",Natural Law Party of Canada,CALGARY CENTRE,Alberta,0,35
"ASHLEY, Audrey ",No affiliation to a recognised party,CAPILANO--HOWE SOUND,British Columbia,0,35
"ASHMORE, Anita ",No affiliation to a recognised party,CROWFOOT,Alberta,0,35
"ASKIN, Margaret ",Marxist-Leninist Party,CALGARY CENTRE,Alberta,0,35
"ATKINSON, Sarah ",Green Party of Canada,WINDSOR WEST,Ontario,0,35
"AUDAIN, Tunya ",Libertarian Party of Canada,VANCOUVER CENTRE,British Columbia,0,35
"AUGUSTINE, Jean ",Liberal,ETOBICOKE--LAKESHORE,Ontario,1,35
"AULT, Leslie ",Progressive Conservative,STORMONT--DUNDAS,Ontario,0,35
"AYOTTE, Célyne ",Abolitionist Party of Canada,TÉMISCAMINGUE,Quebec,0,35
"AYOTTE, Corrine ",Natural Law Party of Canada,PROVENCHER,Manitoba,0,35
"BAGHJAJIAN, Aïda ",Progressive Conservative,SAINT-DENIS,Quebec,0,35
"BAKER, Holly ",National Party of Canada,LEEDS--GRENVILLE,Ontario,0,35
"BAKOPANOS, Eleni ",Liberal,SAINT-DENIS,Quebec,1,35
"BARNES, Sue ",Liberal,LONDON WEST,Ontario,1,35
"BASSETT, Isabel ",Progressive Conservative,ST. PAUL'S,Ontario,0,35
"BAUER, Sandra ",New Democratic Party,CAPILANO--HOWE SOUND,British Columbia,0,35
"BAUX, Marylise ",Natural Law Party of Canada,VERDUN--SAINT-PAUL,Quebec,0,35
"BAXTER, Betty ",New Democratic Party,VANCOUVER CENTRE,British Columbia,0,35
"BEAUBIEN, Denise ",Abolitionist Party of Canada,LAVAL EAST,Quebec,0,35
"BEAUDOIN, Kim ",Bloc Québécois,VERDUN--SAINT-PAUL,Quebec,0,35
"BEAUMIER, Colleen ",Liberal,BRAMPTON,Ontario,1,35
"BEAUSOLEIL, Michèle ",Natural Law Party of Canada,SHEFFORD,Quebec,0,35
"BEAVER, Wanda ",Natural Law Party of Canada,PARKDALE--HIGH PARK,Ontario,0,35
"BEBLUK, Marguerite ",Progressive Conservative,YORK WEST,Ontario,0,35
"BECHLER, Hilda ",National Party of Canada,KOOTENAY EAST,British Columbia,0,35
"BEGLEY, Bracken ",Abolitionist Party of Canada,LANARK--CARLETON,Ontario,0,35
"BÉLAIR, Danièle ",Natural Law Party of Canada,GATINEAU--LA LIÈVRE,Quebec,0,35
"BÉLANGER, Anne ",Natural Law Party of Canada,TIMISKAMING--FRENCH-RIVER,Ontario,0,35
"BELANGER, Louise J. ",Party for the Commonwealth of Canada,SURREY NORTH,British Columbia,0,35
"BÉLANGER, Madeleine ",Liberal,BERTHIER--MONTCALM,Quebec,0,35
"BENNETT, Rose ",Green Party of Canada,MISSION--COQUITLAM,British Columbia,0,35
"BENOÎT, Jacqueline ",Natural Law Party of Canada,MÉGANTIC--COMPTON--STANSTEAD,Quebec,0,35
"BERGMAN, Anita ",Liberal,REGINA--LUMSDEN,Saskatchewan,0,35
"BETHEL, Judy ",Liberal,EDMONTON EAST,Alberta,1,35
"BHARMAL, Ayesha F. ",Abolitionist Party of Canada,WINDSOR--ST. CLAIR,Ontario,0,35
"BIRKMAIER, Donna L. ",Progressive Conservative,SASKATOON--DUNDURN,Saskatchewan,0,35
"BLACK, Dawn ",New Democratic Party,NEW WESTMINSTER--BURNABY,British Columbia,0,35
