"ID","name","exitDataSet","lastElection","termsServed","finalVotePct","Party","needGhostRow"
5755,"STOKES, George Henry",1,"1945-06-11",1,48.61,"P.C.",1
5758,"WHITE, George Stanley",1,"1957-06-10",4,62,"P.C.",1
5759,"CAMERON, Alan John Patrick",1,"1965-11-08",2,49.71,"Lib",1
5761,"CARDIFF, Elston",1,"1963-04-08",7,54.59,"P.C.",1
5784,"MCILRAITH, George",1,"1968-06-25",9,57.74,"Lib",1
5787,"BRUCE, Herbert A.",1,"1945-06-11",1,43.22,"P.C.",1
5793,"FRASER, Gordon Knapman",1,"1958-03-31",5,66.78,"P.C.",1
5827,"NOSEWORTHY, Joseph W.",1,"1953-08-10",1,36.03,"CCF",1
5828,"ADAMSON, Rodney",1,"1953-08-10",3,41.48,"P.C.",1
5834,"DOUGLAS, James Lester",1,"1949-06-27",2,25.66,"Lib",1
5840,"PICARD, L. Philippe",1,"1953-08-10",3,59.42,"Lib",1
5844,"HALLE, Maurice",1,"1945-06-11",1,50.93,"Lib",1
5860,"EUDES, Raymond",1,"1963-04-08",7,46.36,"Lib",1
5879,"LAFONTAINE, Joseph",1,"1957-06-10",4,64.95,"Lib",1
5905,"HEALY, Thomas Patrick",1,"1953-08-10",3,83.75,"Lib",1
5909,"ABBOTT, Douglas Charles",1,"1953-08-10",3,57.13,"Lib",1
5920,"CLAXTON, Brooke",1,"1953-08-10",3,62.2,"Lib",1
5928,"BERTRAND, Lionel",1,"1949-06-27",2,66.89,"Lib",1
5934,"COTE, Paul Emile",1,"1953-08-10",3,68.5,"Lib",1
5947,"DIEFENBAKER, John George",1,"1979-05-22",12,48.96,"P.C.",1
5978,"BLACK, George",1,"1945-06-11",1,40.05,"P.C.",1
5981,"BOUCHER, G. Russell",1,"1945-06-11",1,62.26,"P.C.",1
5983,"BREITHAUPT, Louis O.",1,"1949-06-27",2,55.21,"Lib",1
5992,"MITCHELL, Humphrey",1,"1949-06-27",2,47.28,"Lib",1
5996,"ST LAURENT, tres hon. Louis Stephen",1,"1957-06-10",4,72,"Lib",1
5997,"FAUTEUX, Gaspard",1,"1949-06-27",2,63.47,"Lib",1
6013,"ROSE, Fred",1,"1945-06-11",1,40.84,"Ind.",1
6038,"HARKNESS, Douglas S.",1,"1968-06-25",8,47.07,"P.C.",1
6041,"SMITH, Arthur LeRoy",1,"1949-06-27",1,42.65,"P.C.",1
6067,"WYLIE, William Duncan",1,"1953-08-10",2,48,"Ind.",1
6084,"GIBSON, John Lambert",1,"1949-06-27",1,59.42,"Ind.",1
6089,"FULTON, Edmund Davie",1,"1962-06-18",5,43.13,"P.C.",1
6099,"PEARKES, George R.",1,"1958-03-31",4,65.6,"P.C.",1
6159,"WOOD, Robert James",1,"1953-08-10",1,43.89,"Lib",1
6189,"RICHARD, C.T.",1,"1949-06-27",1,69.78,"Lib",1
6193,"MICHAUD, Benoit",1,"1949-06-27",1,65.43,"Lib",1
6213,"STANFIELD, Frank Thomas",1,"1949-06-27",1,49.25,"P.C.",1
6246,"ROBINSON, Andy Ernest",1,"1962-06-18",3,51.62,"P.C.",1
6262,"FLEMING, Donald M.",1,"1962-06-18",5,45.49,"P.C.",1
6267,"COYLE, Charles Delmer",1,"1953-08-10",2,53.74,"P.C.",1
6311,"BENIDICKSON, William Moore",1,"1963-04-08",6,62.17,"Ind.",1
6323,"BLAIR, William G.",1,"1957-06-10",3,72.08,"P.C.",1
6331,"WHITE, Harry Oliver",1,"1958-03-31",4,69.41,"P.C.",1
